2682219 ; Centro de Apoio de Gestão Territorial;06;;;;;;;;;;OBS:Isento de IVA ao abrigo do artº 9º do CIVA;;0.00;;
2682220 ; Licenciamento Software - Microsoft;01;240120;;;;;;;;;;;0.00;;
2682220 ; Licenciamento Software - Microsoft;02;240120;;;7421322;;;;2682220;;Licenciamento Software - Microsoft;;0.00;;
2682220 ; Licenciamento Software - Microsoft;03;240120;;;;;;;;;;;0.00;;
2682220 ; Licenciamento Software - Microsoft;04;240120;;;;;;;;;;;0.00;;
2682220 ; Licenciamento Software - Microsoft;05;240120;;;;;;;;;;;0.00;;
2682220 ; Licenciamento Software - Microsoft;06;240120;;;;;;;;;OBS:Isento de IVA ao abrigo do artº 9º do CIVA;;0.00;;
2682222 ; Licença Webmarshal;01;240121;;;;;;;;;;;0.00;;
2682222 ; Licença Webmarshal;02;240121;;;7421322;;;;2682222;;Licença Webmarshal;;0.00;;
2682222 ; Licença Webmarshal;03;240121;;;;;;;;;;;0.00;;
2682222 ; Licença Webmarshal;04;240121;;;;;;;;;;;0.00;;
2682222 ; Licença Webmarshal;05;240121;;;;;;;;;;;0.00;;
2682222 ; Licença Webmarshal;06;240121;;;;;;;;;OBS:Isento de IVA ao abrigo do artº 9º do CIVA;;0.00;;
2682223L; Afirmação Territorial Médio/Tejo-Capital;01;240122;;;;;;;;;;;0.00;;
2682223L; Afirmação Territorial Médio/Tejo-Capital;02;240122;;;7421322;;;;2682223;; Afirmação Territorial Médio Tejo-Capital;;0.00;;
2682223L; Afirmação Territorial Médio/Tejo-Capital;03;240122;;;;;;;;;;;0.00;;
2682223L; Afirmação Territorial Médio/Tejo-Capital;04;240122;;;;;;;;;;;0.00;;
2682223L; Afirmação Territorial Médio/Tejo-Capital;05;240122;;;;;;;;;;;0.00;;
2682223L; Afirmação Territorial Médio/Tejo-Capital;06;240122;;;;;;;;;OBS:Isento de IVA ao abrigo do artº 9º do CIVA;;0.00;;
2682223S; Afirmação Territorial Médio/Tejo-Correntes;01;240106;;;;;;;;;;;0.00;;
2682223S; Afirmação Territorial Médio/Tejo-Correntes;02;240106;;;7421321;;;;2682223;;Afirmação Territorial Médio/Tejo-Correntes;;0.00;;
2682223S; Afirmação Territorial Médio/Tejo-Correntes;03;240106;;;;;;;;;;;0.00;;
2682223S; Afirmação Territorial Médio/Tejo-Correntes;04;240106;;;;;;;;;;;0.00;;
2682223S; Afirmação Territorial Médio/Tejo-Correntes;05;240106;;;;;;;;;;;0.00;;
2682223S; Afirmação Territorial Médio/Tejo-Correntes;06;240106;;;;;;;;;OBS:Isento de IVA ao abrigo do artº 9º do CIVA;;0.00;;
2682225 ; Médio Tejo Digital - Assessoria Técnica;01;240123;;;;;;;;;;;0.00;;
2682225 ; Médio Tejo Digital - Assessoria Técnica;02;240123;;;7421321;;;;2682225;;Médio Tejo Digital - Assessoria Técnica;;0.00;;
2682225 ; Médio Tejo Digital - Assessoria Técnica;03;240123;;;;;;;;;;;0.00;;
2682225 ; Médio Tejo Digital - Assessoria Técnica;04;240123;;;;;;;;;;;0.00;;
2682225 ; Médio Tejo Digital - Assessoria Técnica;05;240123;;;;;;;;;;;0.00;;
2682225 ; Médio Tejo Digital - Assessoria Técnica;06;240123;;;;;;;;;OBS:Isento de IVA ao abrigo do artº 9º do CIVA;;0.00;;
2682226L; Educação Excelência-Capital;01;240124;;;;;;;;;;;0.00;;
2682226L; Educação Excelência-Capital;02;240124;;;7421322;;;;2682226;;Educação Excelência-Capital;;0.00;;
2682226L; Educação Excelência-Capital;03;240124;;;;;;;;;;;0.00;;
2682226L; Educação Excelência-Capital;04;240124;;;;;;;;;;;0.00;;
2682226L; Educação Excelência-Capital;05;240124;;;;;;;;;;;0.00;;
2682226L; Educação Excelência-Capital;06;240124;;;;;;;;;OBS:Isento de IVA ao abrigo do artº 9º do CIVA;;0.00;;
2682226S; Educação Excelência-Correntes;01;240107;;;;;;;;;;;0.00;;
2682226S; Educação Excelência-Correntes;02;240107;;;7421321;;;;2682226;;Educação Excelência-Correntes;;0.00;;
2682226S; Educação Excelência-Correntes;03;240107;;;;;;;;;;;0.00;;
2682226S; Educação Excelência-Correntes;04;240107;;;;;;;;;;;0.00;;
2682226S; Educação Excelência-Correntes;05;240107;;;;;;;;;;;0.00;;
2682226S; Educação Excelência-Correntes;06;240107;;;;;;;;;OBS:Isento de IVA ao abrigo do artº 9º do CIVA;;0.00;;
2682230 ; GSIG-Médio Tejo-SIT2-1ª Fase;01;240126;;;;;;;;;;;0.00;;
2682230 ; GSIG-Médio Tejo-SIT2-1ª Fase;02;240126;;;7421322;;;;2682230;;GSIG-Médio Tejo-SIT2-1ª Fase;;0.00;;
2682230 ; GSIG-Médio Tejo-SIT2-1ª Fase;03;240126;;;;;;;;;;;0.00;;
2682230 ; GSIG-Médio Tejo-SIT2-1ª Fase;04;240126;;;;;;;;;;;0.00;;
2682230 ; GSIG-Médio Tejo-SIT2-1ª Fase;05;240126;;;;;;;;;;;0.00;;
2682230 ; GSIG-Médio Tejo-SIT2-1ª Fase;06;240126;;;;;;;;;OBS:Isento de IVA ao abrigo do artº 9º do CIVA;;0.00;;
2682231 ; Instalações Semafóricas;01;240127;;;;;;;;;;;0.00;;
2682231 ; Instalações Semafóricas;02;240127;;;7421321;;;;2682231;;Instalações Semafóricas;;0.00;;
2682231 ; Instalações Semafóricas;03;240127;;;;;;;;;;;0.00;;
2682231 ; Instalações Semafóricas;04;240127;;;;;;;;;;;0.00;;
2682231 ; Instalações Semafóricas;05;240127;;;;;;;;;;;0.00;;
2682231 ; Instalações Semafóricas;06;240127;;;;;;;;;OBS:Isento de IVA ao abrigo do artº 9º do CIVA;;0.00;;
2682232 ; PIAL - Programa Intermunicipal Assecibilidade Local;01;240128;;;;;;;;;;;0.00;;
2682232 ; PIAL - Programa Intermunicipal Assecibilidade Local;02;240128;;;7421321;;;;2682232;; Programa Intermunicipal Assecibilidade Local;;0.00;;
2682232 ; PIAL - Programa Intermunicipal Assecibilidade Local;03;240128;;;;;;;;;;;0.00;;
2682232 ; PIAL - Programa Intermunicipal Assecibilidade Local;04;240128;;;;;;;;;;;0.00;;
2682232 ; PIAL - Programa Intermunicipal Assecibilidade Local;05;240128;;;;;;;;;;;0.00;;
2682232 ; PIAL - Programa Intermunicipal Assecibilidade Local;06;240128;;;;;;;;;OBS:Isento de IVA ao abrigo do artº 9º do CIVA;;0.00;;
2682233 ; Empreendedorismo em Rede;01;240129;;;;;;;;;;;0.00;;
2682233 ; Empreendedorismo em Rede;02;240129;;;7421321;;;;2682233;;Empreendedorismo em Rede;;0.00;;
2682233 ; Empreendedorismo em Rede;03;240129;;;;;;;;;;;0.00;;
